AC1:,8175,AC2:,-1082,AC3:,-14299,AC4:,33312,AC5,25344,AC6,19353,B1,6515,B2:,39,MB:,-32768,MC:,-11786,MD:,2610,,,,,,,,,,,,
RTCTime,GPStime,Date,Lat,Lon,Alt,180Temp0,180Press0,180Temp1,180Press1,X,Y,Z,Press2,Temp2,x1,X2,B5,TEMP,B6,X1,X2,X3,B3,X1,X2,X3,b4,B7,P,X1,X1,x2,p
,144140,310815, 1233.11671N, 12435.71394W,,29265,52224,,,,,,,,=(G3-$L$1)*$J$1/2^15,=$T$1*2^11/(P3+$V$1),=P3+Q3,=(R3+8)/2^4,=R3-4000,=($P$1*(T3*T3/2^12))/2^11,=$D$1*T3/2^11,=U3+V3,=((($B$1*4+W3)*2)+2)/4,=$F$1*T3/2^13,=($N$1*(T3*T3/2^12))/2^16,=(Y3+Z3+2)/4,=$H$1*(AA3+32768)/2^15,=(H3-X3)*(50000/2),"=IF(AC3<HEX2DEC(80000000),AC3*2/AB3,AC3/AB3*2)",=(AD3/2^8)*(AD3/2^8),=AE3*3038/2^16,=(-7357*AD3)/2^16,=AD3+(AF3+AG3+3971)/2^4
144140,310815,1233.11671N,12435.71394W,29263,52992,-49,-28,226,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29258,53248,-47,-27,225,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29256,53248,-48,-19,228,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29250,54272,-47,-22,227,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29255,53760,-47,-21,227,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29248,54272,-48,-21,226,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29239,55552,-47,-21,227,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29236,55808,-46,-21,226,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29236,55808,-48,-20,226,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29230,56832,-48,-21,226,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29228,56832,-47,-20,228,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29235,56832,-48,-22,227,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29232,56832,-48,-21,226,,,,,,,,,,,,,,,,,,,,,,,,,
144140,310815,1233.11671N,12435.71394W,29223,58368,-48,-22,226,,,,,,,,,,,,,,,,,,,,,,,,,
